Category,Common name,Scientific name,Growth form,Will you grow it?,Hardiness range,Zone 7 fit,Sun,Water,Harvest window,Harvest difficulty (1-5),Tastiness (1-5),Productivity (1-5),Edible parts / uses,Notes,Propagation,Nitrogen fixer
Aquatic & wetland edibles,Arrowhead / duck potato,Sagittaria latifolia,Aquatic,,3-10,Hardy,Full sun,Aquatic,Fall,4,4,3,Corms,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: potato-like. Best prep: usually best cooked, roasted, or simmered until tender.",Division; tubers,No
Aquatic & wetland edibles,Broadleaf cattail,Typha latifolia,Aquatic,,3-9,Wild in zone 7,Full sun,Aquatic,Spring shoots; summer pollen; fall rhizomes,5,3,3,Shoots; pollen; rhizomes,"Status: wild native. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild shoots; starchy rhizomes. Best prep: shoots are easiest; rhizomes are best dried, pounded, and washed for starch. Cautions: spreads strongly.",Rhizome division,No
Aquatic & wetland edibles,Pickerelweed,Pontederia cordata,Aquatic,,3-10,Wild in zone 7,Full sun,Aquatic,Late summer - fall,3,3,3,Seeds; young shoots,"Status: wild native. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild seeds. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Aquatic & wetland edibles,Sacred lotus,Nelumbo nucifera,Aquatic,,4-10,Hardy,Full sun,Aquatic,Late summer - fall,4,4,3,Rhizomes; seeds,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: starchy rhizome; nutty seeds. Best prep: usually best cooked, roasted, or simmered until tender.",Rhizome division,No
Aquatic & wetland edibles,Water celery,Oenanthe javanica,Aquatic,,6-10,Hardy,Sun - part shade,Wet - aquatic,Spring - fall,4,4,4,Leaves; stems,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: celery-parsley flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: spreads readily in wet ground.",Division,No
Aquatic & wetland edibles,Watercress,Nasturtium officinale,Aquatic,,3-9,Hardy,Sun - part shade,Running water or very moist soil,Cool seasons,4,5,5,Leaves,"Status: wild naturalized and cultivated. Tastiness: widely regarded as highly tasty. Flavor: peppery. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: use clean water sources only.",Cuttings; division,No
Aquatic & wetland edibles,Yellow pond-lily,Nuphar advena,Aquatic,,4-10,Wild in zone 7,Full sun,Aquatic,Late summer - fall,5,1,2,Seeds; rhizomes,"Status: wild native. Tastiness: mainly a survival food or only marginally palatable. Flavor: starchy and nutty when processed. Best prep: dry, roast, or otherwise process seeds/rhizomes before eating. Cautions: usually requires drying, roasting, or other processing.",Rhizome division,No
"Grains, seeds & pseudocereals",Eastern gamagrass,Tripsacum dactyloides,Grass-like,,4-9,Wild in zone 7,Full sun,Moderate,Late summer - fall,5,2,2,Seeds,"Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: corn-like grain note. Best prep: harvest dry seed, clean, then grind or cook.",Seed; division,No
"Grains, seeds & pseudocereals",Kernza / intermediate wheatgrass,Thinopyrum intermedium,Grass-like,,4-8,Hardy,Full sun,Moderate,Summer,5,2,2,Seeds,"Status: cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: mild nutty grain flavor. Best prep: harvest dry, thresh, winnow, then cook or mill. Notes: Emerging perennial grain crop.",Seed; division,No
"Grains, seeds & pseudocereals",Maximilian sunflower,Helianthus maximiliani,Herbaceous perennial,,4-9,Hardy,Full sun,Low - moderate,Fall,3,2,3,Seeds,"Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: sunflower-seed flavor. Best prep: harvest dry, then clean, thresh, or grind before use. Cautions: tall and spreading.",Seed; division,No
"Grains, seeds & pseudocereals",Perennial buckwheat,Fagopyrum cymosum,Herbaceous perennial,,6-9,Hardy,Full sun - part shade,Moderate,Late summer - fall,4,2,3,Leaves; seeds,Status: cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: buckwheat-like. Best prep: cook or grind seeds; young leaves are milder. Cautions: not as common or proven as annual buckwheat.,Division; seed,No
"Grains, seeds & pseudocereals",Silflower / silphium,Silphium integrifolium,Herbaceous perennial,,3-9,Hardy,Full sun,Low - moderate,Fall,4,2,1,Seeds,Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: oily seed flavor. Best prep: treat like an oilseed or roast lightly. Notes: Breeding target for perennial oilseed production.,Seed,No
Succulent/xeric edibles,Eastern prickly pear,Opuntia humifusa,Succulent,,4-9,Hardy,Full sun,Low,Summer fruits; spring pads,3,4,4,Pads; fruit,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: tart fruit; green-bean-like pads. Best prep: de-spine pads and fruit carefully; grill, saute, or use fruit fresh. Cautions: remove spines and glochids carefully.",Pads; seed,No
Succulent/xeric edibles,Engelmann prickly pear,Opuntia engelmannii,Succulent,,6-10,Hardy,Full sun,Low,Summer,3,4,4,Pads; fruit,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild pads; sweet-tart fruit. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: remove spines and glochids carefully.",Pads,No
Succulent/xeric edibles,Fourwing saltbush,Atriplex canescens,Shrub,,3-7,Hardy,Full sun,Low,Summer leaves; fall seeds,2,2,2,Leaves; seeds,Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: salty and earthy. Best prep: use sparingly as a salty green or grind seeds. Cautions: best used in moderation.,Seed,No
Succulent/xeric edibles,Mediterranean saltbush,Atriplex halimus,Shrub,,7-10,Hardy,Full sun,Low,Year-round leaves,2,2,3,Leaves,"Status: cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: salty, spinach-like. Best prep: best as a salt-seasoned green in mixed dishes. Cautions: best in dry, well-drained sites.",Cuttings; seed,No
Succulent/xeric edibles,Parry's agave,Agave parryi,Succulent,,5-9,Hardy,Full sun,Low,Any time after maturity,4,5,1,Heart; flower stalk,Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: sweet when roasted. Best prep: slow-roast the heart or flower stalk. Cautions: harvesting the heart kills the plant; sharp spines.,Offsets,No
Succulent/xeric edibles,Yucca,Yucca filamentosa,Succulent,,4-10,Hardy,Full sun,Low,Spring - summer,2,4,2,Flowers; immature fruit,Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: mild and slightly sweet flowers. Best prep: flowers are best fresh or lightly cooked; immature pods cook better than mature ones. Cautions: older mature pods are fibrous.,Offsets,No
